id,group_id,name,name_kana,mvp,zissen_man_player_id,zissen_man_rank_group,zissen_man_rank_lastyear,zissen_man_rank_total,zissen_man_comment,hokei_man_player_id,hokei_man_rank_group,hokei_man_rank_lastyear,hokei_man_rank_total,hokei_man_comment,zissen_woman_player_id,zissen_woman_rank_group,zissen_woman_rank_lastyear,zissen_woman_rank_total,zissen_woman_comment,hokei_woman_player_id,hokei_woman_rank_group,hokei_woman_rank_lastyear,hokei_woman_rank_total,hokei_woman_comment
186,14,大寺宏奈,オオデラヒロナ,,,,,,,,,,,,,,,,,21,2,,,
187,14,鷲見くるみ,スミクルミ,,,,,,,,,,,,,,,,,22,1,,,
188,14,羽渕結那,ハブチユナ,,,,,,,,,,,,,,,,,23,3,,,
189,14,加藤祥伍,カトウショウゴ,,,,,,,,,,,,,,,,,,,,,
190,14,南谷倖輝,ミナミタニコウキ,,,,,,,,,,,,,,,,,,,,,
191,14,小川悠,オガワハルカ,,,,,,,,,,,,,,,,,,,,,
192,14,飛石悠太,トビイシユウタ,,,,,,,,,,,,,,,,,,,,,
193,14,津田晃希,ツダテルキ,,,,,,,,,,,,,,,,,,,,,
194,14,伊藤涼太,イトウリョウタ,,,,,,,,,,,,,,,,,,,,,
195,14,樋口領治,ヒグチリョウジ,,,,,,,,,,,,,,,,,,,,,
196,14,神宮寺絢香,ジングウジアヤカ,,,,,,,,,,,,,,,,,,,,,
197,14,海野琉,ウミノリュウ,,,,,,,,,,,,,,,,,,,,,
198,14,倉重まど華,クラシゲマドカ,,,,,,,,,,,,,,,,,,,,,
199,14,遠藤碧,エンドウアオイ,,,,,,,,,,,,,,,,,,,,,
200,14,塩冶榛騎,エンヤハルキ,,,,,,,,,,,,,,,,,,,,,
201,14,村上瑠海,ムラカミルカ,,,,,,,,,,,,,,,,,,,,,
202,14,高橋愛実,タカハシマナミ,,,,,,,,,,,,,,,,,,,,,
203,14,和田啓佑,ワダケイスケ,,,,,,,,,,,,,,,,,,,,,
